Protein Accession	DNA Accession	ARO Category Name	ARO Accession
ABU55430.1	EU085533	antibiotic inactivation enzyme	ARO:3000557
AAA26549.1	M94066	aminoglycoside resistance gene	ARO:3000104
AAA26549.1	M94066	antibiotic inactivation enzyme	ARO:3000557
NP_863643.1	NC_005024	aminoglycoside resistance gene	ARO:3000104
NP_863643.1	NC_005024	antibiotic inactivation enzyme	ARO:3000557
CAA39038.1	X55353	aminoglycoside resistance gene	ARO:3000104
CAA39038.1	X55353	antibiotic inactivation enzyme	ARO:3000557
AAA21889.1	L09246	aminoglycoside resistance gene	ARO:3000104
AAA21889.1	L09246	antibiotic inactivation enzyme	ARO:3000557
AAC41391.1	L29044	aminoglycoside resistance gene	ARO:3000104
AAC41391.1	L29044	antibiotic inactivation enzyme	ARO:3000557
AAB63533.1	L12710	aminoglycoside resistance gene	ARO:3000104
AAB63533.1	L12710	antibiotic inactivation enzyme	ARO:3000557
AAM92464.1	AY123251	aminoglycoside resistance gene	ARO:3000104
AAM92464.1	AY123251	antibiotic inactivation enzyme	ARO:3000557
AAA25680.1	L06163	aminoglycoside resistance gene	ARO:3000104
AAA25680.1	L06163	antibiotic inactivation enzyme	ARO:3000557
AAD46626.1	AF162771	aminoglycoside resistance gene	ARO:3000104
AAD46626.1	AF162771	antibiotic inactivation enzyme	ARO:3000557
AGL46466.1	KC543497.1	aminoglycoside resistance gene	ARO:3000104
AGL46466.1	KC543497.1	antibiotic inactivation enzyme	ARO:3000557
CAE50925.1	AJ584700	aminoglycoside resistance gene	ARO:3000104
CAE50925.1	AJ584700	antibiotic inactivation enzyme	ARO:3000557
CAE50926.1	AJ584701	aminoglycoside resistance gene	ARO:3000104
CAE50926.1	AJ584701	antibiotic inactivation enzyme	ARO:3000557
AAC41392.1	L29045	aminoglycoside resistance gene	ARO:3000104
AAC41392.1	L29045	antibiotic inactivation enzyme	ARO:3000557
AAA87229.1	L29510	aminoglycoside resistance gene	ARO:3000104
AAA87229.1	L29510	antibiotic inactivation enzyme	ARO:3000557
AAK63041.1	AF337947	aminoglycoside resistance gene	ARO:3000104
AAK63041.1	AF337947	antibiotic inactivation enzyme	ARO:3000557
AAC25500.1	AF047556	aminoglycoside resistance gene	ARO:3000104
AAC25500.1	AF047556	antibiotic inactivation enzyme	ARO:3000557
AAD03490.1	AF031326	aminoglycoside resistance gene	ARO:3000104
AAD03490.1	AF031326	antibiotic inactivation enzyme	ARO:3000557
AAD03491.1	AF031327	aminoglycoside resistance gene	ARO:3000104
AAD03491.1	AF031327	antibiotic inactivation enzyme	ARO:3000557
BAD10948.2	AB116646	aminoglycoside resistance gene	ARO:3000104
BAD10948.2	AB116646	antibiotic inactivation enzyme	ARO:3000557
AAD03492.1	AF031328	aminoglycoside resistance gene	ARO:3000104
AAD03492.1	AF031328	antibiotic inactivation enzyme	ARO:3000557
AAD03493.1	AF031329	aminoglycoside resistance gene	ARO:3000104
AAD03493.1	AF031329	antibiotic inactivation enzyme	ARO:3000557
AAD03494.1	AF031330	aminoglycoside resistance gene	ARO:3000104
AAD03494.1	AF031330	antibiotic inactivation enzyme	ARO:3000557
AAD03495.1	AF031331	aminoglycoside resistance gene	ARO:3000104
AAD03495.1	AF031331	antibiotic inactivation enzyme	ARO:3000557
AAD03496.1	AF031332	aminoglycoside resistance gene	ARO:3000104
AAD03496.1	AF031332	antibiotic inactivation enzyme	ARO:3000557
AAF03531.1	AF144880	aminoglycoside resistance gene	ARO:3000104
AAF03531.1	AF144880	antibiotic inactivation enzyme	ARO:3000557
AAD52985.1	AF140221	aminoglycoside resistance gene	ARO:3000104
AAD52985.1	AF140221	antibiotic inactivation enzyme	ARO:3000557
AAU10334.1	AY712687	aminoglycoside resistance gene	ARO:3000104
AAU10334.1	AY712687	antibiotic inactivation enzyme	ARO:3000557
YP_001715321.1	NC_010410	aminoglycoside resistance gene	ARO:3000104
YP_001715321.1	NC_010410	antibiotic inactivation enzyme	ARO:3000557
CAD99015.1	AJ567827	aminoglycoside resistance gene	ARO:3000104
CAD99015.1	AJ567827	antibiotic inactivation enzyme	ARO:3000557
ACJ47200.1	FJ381668	aminoglycoside resistance gene	ARO:3000104
ACJ47200.1	FJ381668	antibiotic inactivation enzyme	ARO:3000557
YP_009081591.1	NG_036525	aminoglycoside resistance gene	ARO:3000104
YP_009081591.1	NG_036525	antibiotic inactivation enzyme	ARO:3000557
CAI57696.1	AJ884726	aminoglycoside resistance gene	ARO:3000104
CAI57696.1	AJ884726	antibiotic inactivation enzyme	ARO:3000557
ABD58917.1	DQ393783	aminoglycoside resistance gene	ARO:3000104
ABD58917.1	DQ393783	antibiotic inactivation enzyme	ARO:3000557
ACF17980.1	EU675686	aminoglycoside resistance gene	ARO:3000104
ACF17980.1	EU675686	antibiotic inactivation enzyme	ARO:3000557
ACK43806.1	FJ460181	aminoglycoside resistance gene	ARO:3000104
ACK43806.1	FJ460181	antibiotic inactivation enzyme	ARO:3000557
AAF27727.1	AF156486	aminoglycoside resistance gene	ARO:3000104
AAF27727.1	AF156486	antibiotic inactivation enzyme	ARO:3000557
AAN87151.1	AY171244	aminoglycoside resistance gene	ARO:3000104
AAN87151.1	AY171244	antibiotic inactivation enzyme	ARO:3000557
CAK12750.1	AM261837	aminoglycoside resistance gene	ARO:3000104
CAK12750.1	AM261837	antibiotic inactivation enzyme	ARO:3000557
CAH10847.1	AJ809407	aminoglycoside resistance gene	ARO:3000104
CAH10847.1	AJ809407	antibiotic inactivation enzyme	ARO:3000557
ABG72894.1	DQ677333	aminoglycoside resistance gene	ARO:3000104
ABG72894.1	DQ677333	antibiotic inactivation enzyme	ARO:3000557
AET15272.1	CP003022	aminoglycoside resistance gene	ARO:3000104
AET15272.1	CP003022	antibiotic inactivation enzyme	ARO:3000557
AAC14728.1	AF047479	aminoglycoside resistance gene	ARO:3000104
AAC14728.1	AF047479	antibiotic inactivation enzyme	ARO:3000557
AAN34365.1	AY138986	aminoglycoside resistance gene	ARO:3000104
AAN34365.1	AY138986	antibiotic inactivation enzyme	ARO:3000557
AAF17880.1	AF137361	aminoglycoside resistance gene	ARO:3000104
AAF17880.1	AF137361	antibiotic inactivation enzyme	ARO:3000557
CAJ32504.1	AM087411	aminoglycoside resistance gene	ARO:3000104
CAJ32504.1	AM087411	antibiotic inactivation enzyme	ARO:3000557
CAJ32491.1	AM087405	aminoglycoside resistance gene	ARO:3000104
CAJ32491.1	AM087405	antibiotic inactivation enzyme	ARO:3000557
BAD00739.1	AB114632	aminoglycoside resistance gene	ARO:3000104
BAD00739.1	AB114632	antibiotic inactivation enzyme	ARO:3000557
AAN41439.1	AY139603	aminoglycoside resistance gene	ARO:3000104
AAN41439.1	AY139603	antibiotic inactivation enzyme	ARO:3000557
ABG49324.1	DQ390458	aminoglycoside resistance gene	ARO:3000104
ABG49324.1	DQ390458	antibiotic inactivation enzyme	ARO:3000557
CAB14620.1	AL009126	aminoglycoside resistance gene	ARO:3000104
CAB14620.1	AL009126	antibiotic inactivation enzyme	ARO:3000557
XP_753111.1	NC_007194.1	efflux pump conferring antibiotic resistance	ARO:3000159
XP_753111.1	NC_007194.1	gene modulating antibiotic efflux	ARO:3000451
BAD89844.2	AB204810	efflux pump conferring antibiotic resistance	ARO:3000159
YP_002325052.1	NC_011595	efflux pump conferring antibiotic resistance	ARO:3000159
CAB46491.1	AJ133121	antibiotic inactivation enzyme	ARO:3000557
CAB46491.1	AJ133121	beta-lactam resistance gene	ARO:3000129
AAF86691.1	AF180952	antibiotic inactivation enzyme	ARO:3000557
AAF86691.1	AF180952	beta-lactam resistance gene	ARO:3000129
AAF86697.1	AF180958	antibiotic inactivation enzyme	ARO:3000557
AAF86697.1	AF180958	beta-lactam resistance gene	ARO:3000129
ABP49606.1	EF504260	antibiotic inactivation enzyme	ARO:3000557
ABP49606.1	EF504260	beta-lactam resistance gene	ARO:3000129
CCK86740.1	HE819401	antibiotic inactivation enzyme	ARO:3000557
CCK86740.1	HE819401	beta-lactam resistance gene	ARO:3000129
ALX99516.1	CP013924.1	efflux pump conferring antibiotic resistance	ARO:3000159
ACJ42146.1	CP001182.1	antibiotic inactivation enzyme	ARO:3000557
ACJ42146.1	CP001182.1	beta-lactam resistance gene	ARO:3000129
AJF82744.1	CP010781.1	antibiotic resistant gene variant or mutant	ARO:0000031
AJF82744.1	CP010781.1	fluoroquinolone resistance gene	ARO:3000102
ALJ89624.1	CP012952.1	antibiotic resistant gene variant or mutant	ARO:0000031
ALJ89624.1	CP012952.1	fluoroquinolone resistance gene	ARO:3000102
AHB92962.1	CP006768.1	gene conferring resistance via absence	ARO:3003768
AHB92962.1	CP006768.1	gene modulating permeability to antibiotic	ARO:3000270
ABG77965.1	DQ679966	efflux pump conferring antibiotic resistance	ARO:3000159
ABG77966.1	DQ679966	efflux pump conferring antibiotic resistance	ARO:3000159
YP_490697.1	NC_007779	efflux pump conferring antibiotic resistance	ARO:3000159
AAC76297.1	U00096	efflux pump conferring antibiotic resistance	ARO:3000159
AAC76298.1	U00096	efflux pump conferring antibiotic resistance	ARO:3000159
AAC76296.1	U00096	efflux pump conferring antibiotic resistance	ARO:3000159
AAC76296.1	U00096	gene modulating antibiotic efflux	ARO:3000451
AAC45086.2	U58495	antibiotic inactivation enzyme	ARO:3000557
AAC45086.2	U58495	beta-lactam resistance gene	ARO:3000129
AEV91214.1	JN848330	antibiotic inactivation enzyme	ARO:3000557
AEV91214.1	JN848330	beta-lactam resistance gene	ARO:3000129
AFU25650.1	JX440355	antibiotic inactivation enzyme	ARO:3000557
AFU25650.1	JX440355	beta-lactam resistance gene	ARO:3000129
CCK86741.1	HE819402	antibiotic inactivation enzyme	ARO:3000557
CCK86741.1	HE819402	beta-lactam resistance gene	ARO:3000129
AFU25647.1	JX440354	antibiotic inactivation enzyme	ARO:3000557
AFU25647.1	JX440354	beta-lactam resistance gene	ARO:3000129
AFU25653.1	JX440356	antibiotic inactivation enzyme	ARO:3000557
AFU25653.1	JX440356	beta-lactam resistance gene	ARO:3000129
BAM34463.1	AB737978	antibiotic inactivation enzyme	ARO:3000557
BAM34463.1	AB737978	beta-lactam resistance gene	ARO:3000129
AHM76771.1	KF992026	antibiotic inactivation enzyme	ARO:3000557
AHM76771.1	KF992026	beta-lactam resistance gene	ARO:3000129
AHM76777.1	KF992028	antibiotic inactivation enzyme	ARO:3000557
AHM76777.1	KF992028	beta-lactam resistance gene	ARO:3000129
AHM76779.1	KF992029	antibiotic inactivation enzyme	ARO:3000557
AHM76779.1	KF992029	beta-lactam resistance gene	ARO:3000129
CAJ28994.1	AM076977	antibiotic inactivation enzyme	ARO:3000557
CAJ28994.1	AM076977	beta-lactam resistance gene	ARO:3000129
AHA80105.1	KF526117	antibiotic inactivation enzyme	ARO:3000557
AHA80105.1	KF526117	beta-lactam resistance gene	ARO:3000129
AHA80106.1	KF526118	antibiotic inactivation enzyme	ARO:3000557
AHA80106.1	KF526118	beta-lactam resistance gene	ARO:3000129
AHM76774.1	KF992027	antibiotic inactivation enzyme	ARO:3000557
AHM76774.1	KF992027	beta-lactam resistance gene	ARO:3000129
AGU38146.1	KF515536	antibiotic inactivation enzyme	ARO:3000557
AGU38146.1	KF515536	beta-lactam resistance gene	ARO:3000129
AHL39336.1	KJ207207	antibiotic inactivation enzyme	ARO:3000557
AHL39336.1	KJ207207	beta-lactam resistance gene	ARO:3000129
AHL39338.1	KJ207208	antibiotic inactivation enzyme	ARO:3000557
AHL39338.1	KJ207208	beta-lactam resistance gene	ARO:3000129
AHL39340.1	KJ207209	antibiotic inactivation enzyme	ARO:3000557
AHL39340.1	KJ207209	beta-lactam resistance gene	ARO:3000129
AHL39333.1	KJ207206	antibiotic inactivation enzyme	ARO:3000557
AHL39333.1	KJ207206	beta-lactam resistance gene	ARO:3000129
AIT76085.1	KM087832	antibiotic inactivation enzyme	ARO:3000557
AIT76085.1	KM087832	beta-lactam resistance gene	ARO:3000129
ABL67017.1	EF125013	antibiotic inactivation enzyme	ARO:3000557
ABL67017.1	EF125013	beta-lactam resistance gene	ARO:3000129
AIT76086.1	KM087833	antibiotic inactivation enzyme	ARO:3000557
AIT76086.1	KM087833	beta-lactam resistance gene	ARO:3000129
AIT76096.1	KM087843	antibiotic inactivation enzyme	ARO:3000557
AIT76096.1	KM087843	beta-lactam resistance gene	ARO:3000129
AIT76088.1	KM087835	antibiotic inactivation enzyme	ARO:3000557
AIT76088.1	KM087835	beta-lactam resistance gene	ARO:3000129
AIT76087.1	KM087834.1	antibiotic inactivation enzyme	ARO:3000557
AIT76087.1	KM087834.1	beta-lactam resistance gene	ARO:3000129
BAP68758.1	LC004922	antibiotic inactivation enzyme	ARO:3000557
BAP68758.1	LC004922	beta-lactam resistance gene	ARO:3000129
AJG06170.1	KM926621	antibiotic inactivation enzyme	ARO:3000557
AJG06170.1	KM926621	beta-lactam resistance gene	ARO:3000129
AJG06172.1	KM926622	antibiotic inactivation enzyme	ARO:3000557
AJG06172.1	KM926622	beta-lactam resistance gene	ARO:3000129
ABZ81086.1	EU427302	antibiotic inactivation enzyme	ARO:3000557
ABZ81086.1	EU427302	beta-lactam resistance gene	ARO:3000129
ACJ05689.1	FJ237369	antibiotic inactivation enzyme	ARO:3000557
ACJ05689.1	FJ237369	beta-lactam resistance gene	ARO:3000129
ACJ05686.1	FJ237366	antibiotic inactivation enzyme	ARO:3000557
ACJ05686.1	FJ237366	beta-lactam resistance gene	ARO:3000129
ACJ05688.1	FJ237368	antibiotic inactivation enzyme	ARO:3000557
ACJ05688.1	FJ237368	beta-lactam resistance gene	ARO:3000129
AEI70575.1	HQ693810	antibiotic inactivation enzyme	ARO:3000557
AEI70575.1	HQ693810	beta-lactam resistance gene	ARO:3000129
WP_004714775.1	NG_048633.1	antibiotic inactivation enzyme	ARO:3000557
WP_004714775.1	NG_048633.1	beta-lactam resistance gene	ARO:3000129
WP_063857787.1	NG_048636	antibiotic inactivation enzyme	ARO:3000557
WP_063857787.1	NG_048636	beta-lactam resistance gene	ARO:3000129
WP_063857788.1	NG_048637.1	antibiotic inactivation enzyme	ARO:3000557
WP_063857788.1	NG_048637.1	beta-lactam resistance gene	ARO:3000129
WP_063857789.1	NG_048638	antibiotic inactivation enzyme	ARO:3000557
WP_063857789.1	NG_048638	beta-lactam resistance gene	ARO:3000129
WP_063857790.1	NG_048639	antibiotic inactivation enzyme	ARO:3000557
WP_063857790.1	NG_048639	beta-lactam resistance gene	ARO:3000129
WP_063857791.1	NG_048640.1	antibiotic inactivation enzyme	ARO:3000557
WP_063857791.1	NG_048640.1	beta-lactam resistance gene	ARO:3000129
WP_063857792.1	NG_048641.1	antibiotic inactivation enzyme	ARO:3000557
WP_063857792.1	NG_048641.1	beta-lactam resistance gene	ARO:3000129
WP_002118772.1	NG_048642	antibiotic inactivation enzyme	ARO:3000557
WP_002118772.1	NG_048642	beta-lactam resistance gene	ARO:3000129
WP_063857793.1	NG_048643.1	antibiotic inactivation enzyme	ARO:3000557
WP_063857793.1	NG_048643.1	beta-lactam resistance gene	ARO:3000129
WP_004746565.1	NG_048644.1	antibiotic inactivation enzyme	ARO:3000557
WP_004746565.1	NG_048644.1	beta-lactam resistance gene	ARO:3000129
WP_063857794.1	NG_048645	antibiotic inactivation enzyme	ARO:3000557
WP_063857794.1	NG_048645	beta-lactam resistance gene	ARO:3000129
WP_063857795.1	NG_048646	antibiotic inactivation enzyme	ARO:3000557
WP_063857795.1	NG_048646	beta-lactam resistance gene	ARO:3000129
WP_063857796.1	NG_048647.1	antibiotic inactivation enzyme	ARO:3000557
WP_063857796.1	NG_048647.1	beta-lactam resistance gene	ARO:3000129
WP_063857797.1	NG_048648.1	antibiotic inactivation enzyme	ARO:3000557
WP_063857797.1	NG_048648.1	beta-lactam resistance gene	ARO:3000129
WP_001211217.1	NG_048649.1	antibiotic inactivation enzyme	ARO:3000557
WP_001211217.1	NG_048649.1	beta-lactam resistance gene	ARO:3000129
WP_063857798.1	NG_048651	antibiotic inactivation enzyme	ARO:3000557
WP_063857798.1	NG_048651	beta-lactam resistance gene	ARO:3000129
WP_001211223.1	NG_050716.1	antibiotic inactivation enzyme	ARO:3000557
WP_001211223.1	NG_050716.1	beta-lactam resistance gene	ARO:3000129
WP_063857800.1	NG_048654.1	antibiotic inactivation enzyme	ARO:3000557
WP_063857800.1	NG_048654.1	beta-lactam resistance gene	ARO:3000129
WP_063857801.1	NG_048655.1	antibiotic inactivation enzyme	ARO:3000557
WP_063857801.1	NG_048655.1	beta-lactam resistance gene	ARO:3000129
WP_063857802.1	NG_048656.1	antibiotic inactivation enzyme	ARO:3000557
WP_063857802.1	NG_048656.1	beta-lactam resistance gene	ARO:3000129
WP_063857803.1	NG_048657.1	antibiotic inactivation enzyme	ARO:3000557
WP_063857803.1	NG_048657.1	beta-lactam resistance gene	ARO:3000129
WP_032055358.1	NG_048658.1	antibiotic inactivation enzyme	ARO:3000557
WP_032055358.1	NG_048658.1	beta-lactam resistance gene	ARO:3000129
WP_063857804.1	NG_048659.1	antibiotic inactivation enzyme	ARO:3000557
WP_063857804.1	NG_048659.1	beta-lactam resistance gene	ARO:3000129
WP_038405930.1	NG_048660.1	antibiotic inactivation enzyme	ARO:3000557
WP_038405930.1	NG_048660.1	beta-lactam resistance gene	ARO:3000129
WP_031973850.1	NG_048666.1	antibiotic inactivation enzyme	ARO:3000557
WP_031973850.1	NG_048666.1	beta-lactam resistance gene	ARO:3000129
WP_017725267.1	NG_048669.1	antibiotic inactivation enzyme	ARO:3000557
WP_017725267.1	NG_048669.1	beta-lactam resistance gene	ARO:3000129
WP_033503051.1	NG_048671.1	antibiotic inactivation enzyme	ARO:3000557
WP_033503051.1	NG_048671.1	beta-lactam resistance gene	ARO:3000129
WP_063857816.1	NG_048677.1	antibiotic inactivation enzyme	ARO:3000557
WP_063857816.1	NG_048677.1	beta-lactam resistance gene	ARO:3000129
WP_001211203.1	NG_048679.1	antibiotic inactivation enzyme	ARO:3000557
WP_001211203.1	NG_048679.1	beta-lactam resistance gene	ARO:3000129
WP_063857817.1	NG_048680.1	antibiotic inactivation enzyme	ARO:3000557
WP_063857817.1	NG_048680.1	beta-lactam resistance gene	ARO:3000129
WP_001211237.1	NG_048681.1	antibiotic inactivation enzyme	ARO:3000557
WP_001211237.1	NG_048681.1	beta-lactam resistance gene	ARO:3000129
WP_063857818.1	NG_048682.1	antibiotic inactivation enzyme	ARO:3000557
WP_063857818.1	NG_048682.1	beta-lactam resistance gene	ARO:3000129
WP_057691006.1	NG_048683.1	antibiotic inactivation enzyme	ARO:3000557
WP_057691006.1	NG_048683.1	beta-lactam resistance gene	ARO:3000129
WP_001159760.1	NG_048684.1	antibiotic inactivation enzyme	ARO:3000557
WP_001159760.1	NG_048684.1	beta-lactam resistance gene	ARO:3000129
WP_004923134.1	NG_048685	antibiotic inactivation enzyme	ARO:3000557
WP_004923134.1	NG_048685	beta-lactam resistance gene	ARO:3000129
WP_029424536.1	NG_048686.1	antibiotic inactivation enzyme	ARO:3000557
WP_029424536.1	NG_048686.1	beta-lactam resistance gene	ARO:3000129
WP_059262723.1	NG_048687.1	antibiotic inactivation enzyme	ARO:3000557
WP_059262723.1	NG_048687.1	beta-lactam resistance gene	ARO:3000129
WP_001211216.1	NG_050718.1	antibiotic inactivation enzyme	ARO:3000557
WP_001211216.1	NG_050718.1	beta-lactam resistance gene	ARO:3000129
YP_002325610.1	NC_011595	efflux pump conferring antibiotic resistance	ARO:3000159
YP_002325611.1	NC_011595	efflux pump conferring antibiotic resistance	ARO:3000159
YP_001706894.1	NC_010400	efflux pump conferring antibiotic resistance	ARO:3000159
YP_001706893.1	NC_010400	efflux pump conferring antibiotic resistance	ARO:3000159
YP_001713101.1	NC_010410	efflux pump conferring antibiotic resistance	ARO:3000159
YP_002320475.1	NC_011586	efflux pump conferring antibiotic resistance	ARO:3000159
AAX14802.1	AY769962	efflux pump conferring antibiotic resistance	ARO:3000159
AAX14803.1	AY769962	efflux pump conferring antibiotic resistance	ARO:3000159
AGV28567.1	KF147862	efflux pump conferring antibiotic resistance	ARO:3000159
AGV28567.1	KF147862	gene modulating antibiotic efflux	ARO:3000451
ADM92605.1	HM440348	efflux pump conferring antibiotic resistance	ARO:3000159
ADM92605.1	HM440348	gene modulating antibiotic efflux	ARO:3000451
ADM92606.1	HM440348	efflux pump conferring antibiotic resistance	ARO:3000159
ADM92606.1	HM440348	gene modulating antibiotic efflux	ARO:3000451
NP_418540.1	NC_000913.3	efflux pump conferring antibiotic resistance	ARO:3000159
AAC09015.1	U14748	antibiotic inactivation enzyme	ARO:3000557
AAC09015.1	U14748	beta-lactam resistance gene	ARO:3000129
WP_003137023.1	NC_008463.1	aminoglycoside resistance gene	ARO:3000104
